,nombre,latitud,longitud,location,categoria,ciudad
0,Aeropuerto de Mallorca,39.547252019169925,2.73001133582378,"{'type': 'Point', 'coordinates': [39.547252019169925, 2.73001133582378]}",Airport,Mallorca
0,Pub Sa Feixina,39.571897,2.640197,"{'type': 'Point', 'coordinates': [39.571897, 2.640197]}",Disco,Mallorca
1,Pub Micros,39.57414075097522,2.640633773891098,"{'type': 'Point', 'coordinates': [39.57414075097522, 2.640633773891098]}",Disco,Mallorca
2,Pub Corner,39.57278329623181,2.6404495519057094,"{'type': 'Point', 'coordinates': [39.57278329623181, 2.6404495519057094]}",Disco,Mallorca
3,Pub Indigno,39.574172,2.640494,"{'type': 'Point', 'coordinates': [39.574172, 2.640494]}",Disco,Mallorca
4,Pub Chapeau,39.57350931161781,2.6435422897338867,"{'type': 'Point', 'coordinates': [39.57350931161781, 2.6435422897338867]}",Disco,Mallorca
5,El Pub del Click,39.572226781417086,2.6419462921643766,"{'type': 'Point', 'coordinates': [39.572226781417086, 2.6419462921643766]}",Disco,Mallorca
6,Café-Pub Belle Epoque,39.57479327,2.6454261285714287,"{'type': 'Point', 'coordinates': [39.57479327, 2.6454261285714287]}",Disco,Mallorca
7,Lennox Pub,39.567853895629916,2.6458932952776304,"{'type': 'Point', 'coordinates': [39.567853895629916, 2.6458932952776304]}",Disco,Mallorca
8,Sindi's Pub,39.565268472268585,2.6271251082644405,"{'type': 'Point', 'coordinates': [39.565268472268585, 2.6271251082644405]}",Disco,Mallorca
9,McOwans Pub,39.56621468067169,2.646782398223877,"{'type': 'Point', 'coordinates': [39.56621468067169, 2.646782398223877]}",Disco,Mallorca
10,Pub Arny,39.5675697137805,2.659922930604507,"{'type': 'Point', 'coordinates': [39.5675697137805, 2.659922930604507]}",Disco,Mallorca
11,Pub Tony's,39.58280094396122,2.658298222214979,"{'type': 'Point', 'coordinates': [39.58280094396122, 2.658298222214979]}",Disco,Mallorca
12,isi pub,39.567120148806524,2.6268046046218365,"{'type': 'Point', 'coordinates': [39.567120148806524, 2.6268046046218365]}",Disco,Mallorca
13,Status Pub,39.56363582766825,2.625917700119777,"{'type': 'Point', 'coordinates': [39.56363582766825, 2.625917700119777]}",Disco,Mallorca
14,Hogan's Bar & Restaurant,39.56903991099882,2.6346734716955886,"{'type': 'Point', 'coordinates': [39.56903991099882, 2.6346734716955886]}",Disco,Mallorca
15,Rose & Crown Pub,39.5106132477194,2.5399768352508545,"{'type': 'Point', 'coordinates': [39.5106132477194, 2.5399768352508545]}",Disco,Mallorca
0,Sabores de Sandra VEGAN Restaurant,39.5770042,2.6377468,"{'type': 'Point', 'coordinates': [39.5770042, 2.6377468]}",Vegan,Mallorca
1,Vegan & Raw,39.57587445446343,2.6486116647720337,"{'type': 'Point', 'coordinates': [39.57587445446343, 2.6486116647720337]}",Vegan,Mallorca
2,Sabor Vegan Culinary Academy,39.57387362978236,2.653283807045242,"{'type': 'Point', 'coordinates': [39.57387362978236, 2.653283807045242]}",Vegan,Mallorca
3,LoVegano,39.57294406832292,2.6380256461803793,"{'type': 'Point', 'coordinates': [39.57294406832292, 2.6380256461803793]}",Vegan,Mallorca
5,100% Mexicano Vegano,39.593426,2.6198688,"{'type': 'Point', 'coordinates': [39.593426, 2.6198688]}",Vegan,Mallorca
6,Villa Vegana,39.65239244027836,2.624197250452141,"{'type': 'Point', 'coordinates': [39.65239244027836, 2.624197250452141]}",Vegan,Mallorca
7,Donna Vegana,39.49667,2.475299,"{'type': 'Point', 'coordinates': [39.49667, 2.475299]}",Vegan,Mallorca
0,happy  kids escoleta infantil,39.58030264991082,2.659505835895499,"{'type': 'Point', 'coordinates': [39.58030264991082, 2.659505835895499]}",Nursery,Mallorca
1,Escoleta Infantil Petit Angelet,39.585272081,2.662080323,"{'type': 'Point', 'coordinates': [39.585272081, 2.662080323]}",Nursery,Mallorca
2,Escoleta Pessigolles,39.579509,2.649002,"{'type': 'Point', 'coordinates': [39.579509, 2.649002]}",Nursery,Mallorca
3,Escoleta Lluís Vives,39.583655,2.645341,"{'type': 'Point', 'coordinates': [39.583655, 2.645341]}",Nursery,Mallorca
